date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Jeruk 10g,,NJL-0038,,15,Karton,176730,176376.54,0.20%,0,,,2645648.10,2645648.10,0,0,10,5,264564.81,10013,6430610,2645648.1,2910212.91,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Strawberry 10g,,NJL-0039,,50,Karton,176730,176376.54,0.20%,0,,,8818827.00,8818827.00,0,0,10,5,881882.70,10013,6430610,8818827,9700709.7,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Susu Vanilla 140g,,NJL-0016,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Susu Melon 145g,,NJL-0017,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Susu Mangga 130g,,NJL-0018,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Susu Strawberry 145g,,NJL-0019,,15,Karton,210950,210528.10,0.20%,0,,,3157921.50,3157921.50,0,0,10,5,315792.15,10013,6430610,3157921.5,3473713.65,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Santan Pandan 130g,,NJL-0020,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Lapis Gula Jawa 100g,,NJL-0021,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Lapis Cocopandan 110g,,NJL-0022,,5,Karton,210950,210528.10,0.20%,0,,,1052640.50,1052640.50,0,0,10,5,105264.05,10013,6430610,1052640.5,1157904.55,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Biscuit 155g,,SPD-0006,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Chocolate 155g,,SPD-0005,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Taro 155g,,SPD-0004,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Gummy 155g,,SPD-0003,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Avocado 155g,,SPD-0002,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Silky Pudding Peach 155g,,SPD-0001,,5,Karton,112440,112215.12,0.20%,0,,,561075.60,561075.60,0,0,10,5,56107.56,10013,6430610,561075.6,617183.16,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**My Vla Vanilla 60g,,MVL-0001,,20,Karton,254710,254200.58,0.20%,0,,,5084011.60,5084011.60,0,0,10,5,508401.16,10013,6430610,5084011.6,5592412.76,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Perkedelku Original 50g,,PKD-0001,,5,Karton,344400,343711.20,0.20%,0,,,1718556.00,1718556.00,0,0,10,5,171855.60,10013,6430610,1718556,1890411.6,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Coklat 20gr,,NJL-0007,,20,Karton,257620,257104.76,0.20%,0,,,5142095.20,5142095.20,0,0,10,5,514209.52,10013,6430610,5142095.2,5656304.72,10013
11/1/2022,Purchase Invoice,10028,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Pop Ice Thunder Choco Malt 25g,,POP-0052,,252,Karton,190700,190318.60,0.20%,0,,,47960287.20,47960287.20,0,0,10,5,4796028.72,10013,6430610,47960287.2,52756315.92,10013
11/1/2022,Purchase Invoice,10028,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Plain 10g,,NJL-0040,,10,Karton,176730,176376.54,0.20%,0,,,1763765.40,1763765.40,0,0,10,5,176376.54,10013,6430610,1763765.4,1940141.94,10013
11/1/2022,Purchase Invoice,10028,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**My Vla Chocolate 63g,,MVL-0002,,5,Karton,254710,254200.58,0.20%,0,,,1271002.90,1271002.90,0,0,10,5,127100.29,10013,6430610,1271002.9,1398103.19,10013
11/1/2022,Purchase Invoice,10028,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Pudding Susu Belgian Chocolate 145g,,NJL-0045,,15,Karton,228200,227743.60,0.20%,0,,,3416154.00,3416154.00,0,0,10,5,341615.40,10013,6430610,3416154,3757769.4,10013
