Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit,Credit New
Bank Deposit,10197,18/02/2022,created on 23/02/2022 14:01:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23,0,
Bank Deposit,10199,18/02/2022,created on 24/02/2022 09:14:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,48.62,0,
Bank Deposit,10195,21/02/2022,created on 23/02/2022 13:45:37,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,51.76,0,
Bank Deposit,10198,21/02/2022,created on 23/02/2022 14:02:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,32,0,
Bank Deposit,10200,22/02/2022,created on 01/03/2022 10:16:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,30.25,0,
Bank Deposit,10211,22/02/2022,created on 02/03/2022 19:55:29,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),5-50100,838,Purchase Discounts - CASHBACK PT ESPAY DE,198000,0,
Bank Deposit,10201,24/02/2022,created on 01/03/2022 10:21:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.7,0,
Bank Deposit,10202,24/02/2022,created on 01/03/2022 10:26:35,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,52,0,
Bank Deposit,10205,24/02/2022,created on 01/03/2022 12:18:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,60.47,0,
Bank Deposit,10208,24/02/2022,created on 02/03/2022 19:30:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.44,0,
Bank Deposit,10206,25/02/2022,created on 02/03/2022 10:21:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,8,0,
Bank Deposit,10263,25/02/2022,created on 06/04/2022 11:44:29,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,631849,0,
